Feature,Coef
YrSold-Month_2009-12,-0.024060767620199153
GarageCond_Fa,-0.027685458205374085
KitchenAbvGr,-0.032001572136696514
OverallQual_FireplaceQu_3_No_fireplace,-0.032032766143737304
YrSold-Month_2008-10,-0.03287998944574739
Neighborhood_FireplaceQu_OldTown_No_fireplace,-0.03580857770305007
Neighborhood_Basement_Edwards_1,-0.03778027382955204
YrSold-Month_2007-2,-0.04009245580549175
YearsOld_log,-0.04358930257544978
Neighborhood_FireplaceQu_IDOTRR_No_fireplace,-0.06133496898566876
YearSinceRemodel,-0.07617553335074244
OverallQual_Neighborhood_4_IDOTRR,-0.07646298843383953
MSSubClass_s160,-0.07939382633208616
Neighborhood_MeadowV,-0.08022145315461343
YearsOld,-0.1255169617174766
